user_id,name,phone,email,password
101,Niraj Kumar,97096123,niraj@gmail.com,0
102,raj Kumar,123456789,raj@gmail.com,1234
103,sandeep kumar,987456321,sandeep@gmail.com,1472
104,bhanu teja sir,456123789,teja@gmail.com,4567
105,rajiv,98745632,rajiv@gmail.com,1234
106,user1,98465665,user1@gmail.com,4567
107,user2,3465465,user2@gmail.com,45661
108,user3,354643,user3@gmail.com,26622
109,user4,531435435,user4@gmail.com,1434
110,user5,3543513,user5@gmail.com,21253
111,user6,354354353,user6@gmail.com,12333
112,munal,9876543,munal@gmail.com,45678
112,munal,9876543,munal@gmail.com,1234
114,teja,9876544,teja@gmail.com,4567
115,harsh,985662414,harsh@gmail.com,11111
116,aryan,98765432,aryan@gmail.com,2222
120,ABC,6454656,ABC@gmail.com,78965
121,Harsh sharma,9876543,harsh@gmail.com,4444
